"","ColdCorals_All_MPA","ColdCorals","CoralReefs_All_MPA","CoralReefs","KnollSeamounts_All_MPA","KnollSeamounts","mangroves_All_MPA","mangroves","Saltmarshes_All_MPA","Saltmarshes","Seagrasses_All_MPA","Seagrasses","ColdCorals_All_MPA_with_PS_mpashabitat","ColdCorals_PS_MPA","CoralReefs_All_MPA_with_PS_mpashabitat","CoralReefs_PS_MPA","KnollSeamounts_All_MPA_with_PS_mpashabitat","KnollSeamounts_PS_MPA","mangroves_All_MPA_with_PS_mpashabitat","mangroves_PS_MPA","Saltmarshes_All_MPA_with_PS_mpashabitat","Saltmarshes_PS_MPA","Seagrasses_All_MPA_with_PS_mpashabitat","Seagrasses_PS_MPA"
"232",0,0,0,0,100477,190525.765625,0,0,0,0,0,0,0,0,0,0,100477,103477.3359375,0,0,0,0,0,0
"233",0,0,0,0,4500.63916015625,28124.361328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"234",0,0,0,0,10098.5244140625,51950.6328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"235",0,0,0,0,1759.27917480469,17365.865234375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"236",0,0,0,0,12297.1015625,98078.3359375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"237",0,0,0,0,138.60693359375,5150.9140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238",0,0,0,0,141270.15625,711135.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"239",0,0,0,0,82696.7734375,215908.765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241",0,0,0,0,15203.365234375,86322.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242",0,0,0,0,2167.97436523438,17592.521484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"244",0,0,0,0,23620.59375,164388.015625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245",0,0,0,0,9949.3974609375,120131.3984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"246",0,0,0,0,69.1644134521484,152.688598632812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247",0,0,0,0,3435.28369140625,27002.44921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"248",0,0,0,0,26659.697265625,146302.609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
