year,portfolio,cells,source,protection_level,series,cumulative_area_km2,cumulative_percent,annual_delta_km2,annual_delta_percent
2000,minimal_cells,9068429,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,9068429,2.512,NA,NA
2001,minimal_cells,9177308,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,9177308,2.5422,108879,0.030160387811634326
2002,minimal_cells,9224586,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,9224586,2.5553,47278,0.013096398891966565
2003,minimal_cells,9243919,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,9243919,2.5606,19333,0.005355401662050063
2004,minimal_cells,9329272,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,9329272,2.5843,85353,0.023643490304709136
2005,minimal_cells,9434492,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,9434492,2.6134,105220,0.029146814404431787
2006,minimal_cells,11522404,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,11522404,3.1918,2087912,0.5783689750692522
2007,minimal_cells,11571364,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,11571364,3.2054,48960,0.013562326869806185
2008,minimal_cells,11637293,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,11637293,3.2236,65929,0.01826288088642647
2009,minimal_cells,11924045,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,11924045,3.3031,286752,0.07943268698060946
2010,minimal_cells,12342507,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,12342507,3.419,418462,0.11591745152354571
2011,minimal_cells,12507579,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,12507579,3.4647,165072,0.04572631578947384
2012,minimal_cells,14223821,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,14223821,3.9401,1716242,0.47541329639889174
2013,minimal_cells,14831712,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,14831712,4.1085,607891,0.1683908587257621
2014,minimal_cells,16235274,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,16235274,4.4973,1403562,0.3887983379501385
2015,minimal_cells,16320172,MPAs,Minimally or Moderately Protected,MPAs – Minimally or Moderately Protected,16320172,4.5208,84898,0.023517451523545674
