habitat,total,all_mpas,PA,percent_all,percent_PA
Cold-water corals,15343,4418,353,28.79,2.3
Warm-water corals,149750,64166,16016,42.85,10.7
Seamounts,173484565,16154936,2438573,9.31,1.41
Seagrasses,321893,89858,4375,27.92,1.36
