sovereign,territory,habitat,habitat_area,mpa,heavily_restricted,minimal_area_km2,high_area_km2,upgrade_gain_percent,opportunity_score,high_protection_percent,enabling_conditions,enabling_band,global_share
Guinea-Bissau,Guinea-Bissau,Mangroves,2669.14526367188,1112.20068359375,0,1112.20068359375,0,41.66879557779189,479.4886726634632,0,43.11170454545454,<50,1.829523043265558
Sierra Leone,Sierra Leone,Mangroves,1488,619,0,619,0,41.5994623655914,266.17,0,43,<50,1.0199258636954456
Kenya,Kenya,Warm-water corals,413.986389160156,173.527389526367,2,171.527389526367,2,41.43309877272545,72.21303099060052,0.4831076702925791,42.1,<50,0.2775036282562834
Argentina,Argentina,Saltmarshes,4769.22265625,1999,24,1975,24,41.411360767813804,1353.4938371866158,0.5032266624949526,68.53133352843625,50-69,2.1238361490964035
Ireland,Ireland,Cold-water corals,478.227813720703,196.067764282227,0,196.067764282227,0,40.998820783087176,159.59916012573277,0,81.4,>=70,3.4608306689125885
Panama,Panama,Saltmarshes,223,91,0,91,0,40.80717488789238,53.41700000000001,0,58.7,50-69,0.09930663661253716
Egypt,Egypt,Saltmarshes,54,22,0,22,0,40.74074074074074,9.416448979591836,0,42.802040816326524,<50,0.024047346982408103
Antigua and Barbuda,Antigua and Barbuda,Mangroves,5,2,0,2,0,40,1.2882105263157897,0,64.41052631578948,50-69,0.0034271702409121156
Philippines,Philippines,Mangroves,2875,1142,4,1138,4,39.582608695652176,594.1304524765729,0.1391304347826087,52.20829986613119,50-69,1.9706228885244665
Slovenia,Slovenia,Seagrasses,26.4710178375244,12.4710178375244,2,10.4710178375244,2,39.556536517764904,7.005110933303824,7.555432935279388,66.9,50-69,0.00838852881757782
Sierra Leone,Sierra Leone,Seagrasses,4407.76513671875,1729,0,1729,0,39.226227949321064,743.47,0,43,<50,1.3967980036667145
Mexico,Mexico,Cold-water corals,117.761978149414,47,1,46,1,39.061843833530155,25.43398412698413,0.8491705181202207,55.29126984126984,50-69,0.852217821545043
Sweden,Sweden,Seagrasses,1274.8193359375,504.819274902344,7,497.819274902344,7,39.050182317500585,432.63307527289976,0.5490974134662158,86.90564971751412,>=70,0.4039836625230894
United States,Alaska,Saltmarshes,1613.27453613281,624,0,624,0,38.67909559248323,472.992,0,75.8,>=70,0.7184254175605399
Haiti,Haiti,Warm-water corals,324,123,0,123,0,37.96296296296296,45.110933333333335,0,36.675555555555555,<50,0.21718389277830222
Belize,Belize,Seagrasses,4921.3984375,2139.3984375,289,1850.3984375,289,37.59903736711015,1002.9159531250001,5.872314620939488,54.2,50-69,1.559565743529115
Fiji,Fiji,Mangroves,480,177,0,177,0,36.875,95.43561573033708,0,53.91842696629213,50-69,0.3290083431275631
Australia,Australia,Seagrasses,42089,17133,1614,15519,1614,36.87186675853548,13066.453286304197,3.8347311649124474,84.19649002064693,>=70,13.337786690715777
Japan,Japan,Cold-water corals,94.0251235961914,34,0,34,0,36.16054805311334,26.078290243902437,0,76.70085365853659,>=70,0.6804393681293506
United Arab Emirates,United Arab Emirates,Warm-water corals,133,63,15,48,15,36.090225563909776,34.128,11.278195488721805,71.1,>=70,0.08915264734417962
Fiji,Fiji,Warm-water corals,3341,1202,0,1202,0,35.97725231966477,648.0994921348314,0,53.91842696629213,50-69,2.239541314112061
Ukraine,Ukraine,Seagrasses,6017.95947265625,2161,0,2161,0,35.90918167227475,1184.20639,0,54.799,50-69,1.9070602713217577
Australia,Australia,Cold-water corals,289.099212646484,105,3,102,3,35.28200546319977,85.88041982105987,1.0377060430352874,84.19649002064693,>=70,2.092148120163008
United Arab Emirates,United Arab Emirates,Seagrasses,1098.84838867188,475,88,387,88,35.21868931051957,275.157,8.008384132624606,71.1,>=70,0.34821937830649996
Madagascar,Madagascar,Warm-water corals,2397,834,0,834,0,34.79349186483104,416.166,0,49.9,<50,1.6067586141654024
Portugal,Portugal,Cold-water corals,129.411056518555,45,0,45,0,34.77291756253291,33.683557046979864,0,74.85234899328859,>=70,0.9365196679199479
Costa Rica,Costa Rica,Warm-water corals,75,28,2,26,2,34.666666666666664,16.095244019138757,2.6666666666666665,61.904784688995214,50-69,0.050274049254236626
Iceland,Iceland,Seagrasses,29,10,0,10,0,34.48275862068966,8.262816003483074,0,82.62816003483074,>=70,0.009189950201495819
Indonesia,Indonesia,Warm-water corals,19995.560546875,6810,130,6680,130,33.407415532764254,3466.52063655914,0.6501443142603822,51.894021505376344,50-69,13.403437277328859
Honduras,Honduras,Warm-water corals,716.046875,246,7,239,7,33.37770310079211,129.7739746835443,0.9775896305671329,54.29873417721519,50-69,0.4799810114945629
Cambodia,Cambodia,Seagrasses,6,2,0,2,0,33.333333333333336,0.9028333333333333,0,45.141666666666666,<50,0.0019013690072060315
France,Clipperton Island,Warm-water corals,3,3,2,1,2,33.333333333333336,0.804,66.66666666666667,80.4,>=70,0.002010961970169465
Maldives,Maldives,Mangroves,3,1,0,1,0,33.333333333333336,0.5179633333333333,0,51.79633333333334,50-69,0.0020563021445472694
Senegal,Senegal,Seagrasses,1484,488,0,488,0,32.88409703504043,217.36629090909094,0,44.54227272727273,<50,0.47027193444895843
Liberia,Liberia,Mangroves,192.04524230957,63,0,63,0,32.8047699814642,24.318,0,38.6,<50,0.1316343478704229
Brazil,Brazil,Saltmarshes,2915,979,26,953,26,32.692967409948544,531.8941641554321,0.8919382504288165,55.81260904044409,50-69,1.2981114158096225
United States,United States,Saltmarshes,17186.779296875,5537.99072265625,2,5535.99072265625,2,32.21075122354562,4191.528631366654,0.011636851590708746,75.71415562913907,>=70,7.653637875222612
United Kingdom,Cayman Islands,Warm-water corals,134,48,5,43,5,32.08955223880597,32.32095,3.7313432835820897,75.165,>=70,0.08982296800090277
Belize,Belize,Warm-water corals,872.889282226562,366.081085205078,86.0810852050781,279.9999999999999,86.0810852050781,32.07737862077733,151.75999999999996,9.861627007895303,54.2,50-69,0.5851157169087124
Australia,Australia,Saltmarshes,13235,4229,1,4228,1,31.945598791084247,3559.8275980729522,0.007555723460521345,84.19649002064693,>=70,5.89382661689206
United Kingdom,Falkland / Malvinas Islands,Cold-water corals,23,7,0,7,0,30.434782608695652,5.884827586206897,0,84.06896551724138,>=70,0.1664459972867187
Italy,Italy,Cold-water corals,174.583206176758,53.003345489502,0,53.003345489502,0,30.359933610016522,35.39024689261018,0,66.76983606557377,50-69,1.2634206896349265
Peru,Peru,Mangroves,58.9867248535156,16.9586124420166,0,16.9586124420166,0,28.74987971298744,8.86773120565383,0,52.29042904290429,50-69,0.04043150960536795
Belize,Belize,Mangroves,525.1943359375,149.173568725586,1,148.173568725586,1,28.213093437325107,80.31007424926761,0.19040570919618668,54.2,50-69,0.3599860797641201
Seychelles,Seychelles,Seagrasses,18,6,1,5,1,27.77777777777778,3.1141799544419135,5.555555555555555,62.283599088838265,50-69,0.005704107021618094
Cuba,Cuba,Warm-water corals,2674,739,0,739,0,27.63649962602842,412.04592168674696,0,55.75722891566265,50-69,1.7924374360777164
Russia,Russia,Saltmarshes,9329,3148,575,2573,575,27.58066245042341,1392.7777636227386,6.163575945974917,54.13049994647254,50-69,4.154401851831207
Honduras,Honduras,Seagrasses,2750,731,0,731,0,26.581818181818182,396.92374683544307,0,54.29873417721519,50-69,0.8714607949694311
South Africa,South Africa,Cold-water corals,38,19,9,10,9,26.31578947368421,5.75,23.68421052631579,57.5,50-69,0.27499773464762217
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,Warm-water corals,41.838695526123,21,10,11,10,26.29145068141975,6.414833333333332,23.901318801290685,58.31666666666666,50-69,0.0280453418615109
Philippines,Philippines,Seagrasses,15040,4369,419,3950,419,26.263297872340427,2062.227844712182,2.785904255319149,52.20829986613119,50-69,4.766098311396452
South Korea,South Korea,Seagrasses,99,38,12,26,12,26.262626262626263,17.362060913705584,12.121212121212121,66.7771573604061,50-69,0.03137258861889952
Guinea,Guinea,Mangroves,2224.16967773438,583.799255371094,0,583.799255371094,0,26.247963957757623,196.63818419036875,0,33.682500000000005,<50,1.5245216260540715
Norway,Norway,Saltmarshes,50,13,0,13,0,26,11.111485036119712,0,85.47296181630547,>=70,0.022266062020748243
Finland,Finland,Seagrasses,62,16,0,16,0,25.806451612903224,13.812336448598133,0,86.32710280373833,>=70,0.01964747974112899
Indonesia,Indonesia,Mangroves,29124.90625,7462.25146484375,2,7460.25146484375,2,25.614679754870455,3871.4244995211693,0.00686697489369601,51.894021505376344,50-69,19.963202393871057
India,India,Mangroves,3406.22631835938,858.000915527344,0,858.000915527344,0,25.189192829107228,416.2510002132126,0,48.51405082212257,<50,2.334743494418581
Kenya,Kenya,Cold-water corals,4,1,0,1,0,25,0.42100000000000004,0,42.1,<50,0.028947129962907596
Netherlands,Curaçao,Seagrasses,12,3,0,3,0,25,2.428909090909091,0,80.96363636363637,>=70,0.003802738014412063
